grantee,routine_schema,routine_name,privilege_type
postgres,public,float8_dist,EXECUTE
service_role,public,float8_dist,EXECUTE
PUBLIC,public,gbt_bit_compress,EXECUTE
anon,public,gbt_bit_compress,EXECUTE
authenticated,public,gbt_bit_compress,EXECUTE
postgres,public,gbt_bit_compress,EXECUTE
service_role,public,gbt_bit_compress,EXECUTE
PUBLIC,public,gbt_bit_consistent,EXECUTE
anon,public,gbt_bit_consistent,EXECUTE
authenticated,public,gbt_bit_consistent,EXECUTE
postgres,public,gbt_bit_consistent,EXECUTE
service_role,public,gbt_bit_consistent,EXECUTE
PUBLIC,public,gbt_bit_penalty,EXECUTE
anon,public,gbt_bit_penalty,EXECUTE
authenticated,public,gbt_bit_penalty,EXECUTE
postgres,public,gbt_bit_penalty,EXECUTE
service_role,public,gbt_bit_penalty,EXECUTE
PUBLIC,public,gbt_bit_picksplit,EXECUTE
anon,public,gbt_bit_picksplit,EXECUTE
authenticated,public,gbt_bit_picksplit,EXECUTE
postgres,public,gbt_bit_picksplit,EXECUTE
service_role,public,gbt_bit_picksplit,EXECUTE
PUBLIC,public,gbt_bit_same,EXECUTE
anon,public,gbt_bit_same,EXECUTE
authenticated,public,gbt_bit_same,EXECUTE
postgres,public,gbt_bit_same,EXECUTE
service_role,public,gbt_bit_same,EXECUTE
PUBLIC,public,gbt_bit_union,EXECUTE
anon,public,gbt_bit_union,EXECUTE
authenticated,public,gbt_bit_union,EXECUTE
postgres,public,gbt_bit_union,EXECUTE
service_role,public,gbt_bit_union,EXECUTE
PUBLIC,public,gbt_bool_compress,EXECUTE
anon,public,gbt_bool_compress,EXECUTE
authenticated,public,gbt_bool_compress,EXECUTE
postgres,public,gbt_bool_compress,EXECUTE
service_role,public,gbt_bool_compress,EXECUTE
PUBLIC,public,gbt_bool_consistent,EXECUTE
anon,public,gbt_bool_consistent,EXECUTE
authenticated,public,gbt_bool_consistent,EXECUTE
postgres,public,gbt_bool_consistent,EXECUTE
service_role,public,gbt_bool_consistent,EXECUTE
PUBLIC,public,gbt_bool_fetch,EXECUTE
anon,public,gbt_bool_fetch,EXECUTE
authenticated,public,gbt_bool_fetch,EXECUTE
postgres,public,gbt_bool_fetch,EXECUTE
service_role,public,gbt_bool_fetch,EXECUTE
PUBLIC,public,gbt_bool_penalty,EXECUTE
anon,public,gbt_bool_penalty,EXECUTE
authenticated,public,gbt_bool_penalty,EXECUTE
postgres,public,gbt_bool_penalty,EXECUTE
service_role,public,gbt_bool_penalty,EXECUTE
PUBLIC,public,gbt_bool_picksplit,EXECUTE
anon,public,gbt_bool_picksplit,EXECUTE
authenticated,public,gbt_bool_picksplit,EXECUTE
postgres,public,gbt_bool_picksplit,EXECUTE
service_role,public,gbt_bool_picksplit,EXECUTE
PUBLIC,public,gbt_bool_same,EXECUTE
